# packages in environment at /home/zhanqiu/miniforge3/envs/stretch_ai:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                  2_kmp_llvm    conda-forge
accelerate                0.33.0                   pypi_0    pypi
addict                    2.4.0                    pypi_0    pypi
aiohappyeyeballs          2.4.0              pyhd8ed1ab_0    conda-forge
aiohttp                   3.10.5           py39hcd6043d_0    conda-forge
aiosignal                 1.3.1              pyhd8ed1ab_0    conda-forge
annotated-types           0.7.0                    pypi_0    pypi
antlr4-python3-runtime    4.9.3                    pypi_0    pypi
anyio                     4.4.0                    pypi_0    pypi
asttokens                 2.4.1                    pypi_0    pypi
async-timeout             4.0.3              pyhd8ed1ab_0    conda-forge
attrs                     24.2.0             pyh71513ae_0    conda-forge
audioread                 3.0.1                    pypi_0    pypi
black                     24.8.0                   pypi_0    pypi
blinker                   1.8.2                    pypi_0    pypi
brotli-python             1.1.0            py39h3d6467e_1    conda-forge
bzip2                     1.0.8                h4bc722e_7    conda-forge
ca-certificates           2024.8.30            hbcca054_0    conda-forge
cachetools                5.5.0                    pypi_0    pypi
certifi                   2024.8.30          pyhd8ed1ab_0    conda-forge
cffi                      1.17.0           py39h15c3d72_1    conda-forge
cfgv                      3.4.0                    pypi_0    pypi
charset-normalizer        3.3.2              pyhd8ed1ab_0    conda-forge
click                     8.1.7                    pypi_0    pypi
cmeel                     0.53.3                   pypi_0    pypi
cmeel-assimp              5.3.1                    pypi_0    pypi
cmeel-boost               1.83.0                   pypi_0    pypi
cmeel-console-bridge      1.0.2.2                  pypi_0    pypi
cmeel-octomap             1.9.8.2                  pypi_0    pypi
cmeel-qhull               8.0.2.1                  pypi_0    pypi
cmeel-tinyxml             2.6.2.3                  pypi_0    pypi
cmeel-urdfdom             3.1.1.1                  pypi_0    pypi
colorama                  0.4.6              pyhd8ed1ab_0    conda-forge
comm                      0.2.2                    pypi_0    pypi
configargparse            1.7                      pypi_0    pypi
contourpy                 1.3.0                    pypi_0    pypi
cryptography              43.0.1                   pypi_0    pypi
cuda-version              11.6                 hca96458_3    conda-forge
cudatoolkit               11.6.2              hfc3e2af_13    conda-forge
cudnn                     8.9.7.29             hbc23b4c_3    conda-forge
cycler                    0.12.1                   pypi_0    pypi
dash                      2.17.1                   pypi_0    pypi
dash-core-components      2.0.0                    pypi_0    pypi
dash-html-components      2.0.0                    pypi_0    pypi
dash-table                5.0.0                    pypi_0    pypi
decorator                 5.1.1                    pypi_0    pypi
distlib                   0.3.8                    pypi_0    pypi
distro                    1.9.0                    pypi_0    pypi
eigenpy                   3.5.1                    pypi_0    pypi
einops                    0.8.0                    pypi_0    pypi
evdev                     1.7.1                    pypi_0    pypi
exceptiongroup            1.2.2                    pypi_0    pypi
executing                 2.1.0                    pypi_0    pypi
fastjsonschema            2.20.0                   pypi_0    pypi
filelock                  3.15.4                   pypi_0    pypi
flake8                    7.1.1                    pypi_0    pypi
flask                     3.0.3                    pypi_0    pypi
fonttools                 4.53.1                   pypi_0    pypi
freetype-py               2.5.1                    pypi_0    pypi
frozenlist                1.4.1            py39hd1e30aa_0    conda-forge
fsspec                    2024.6.1           pyhff2d567_0    conda-forge
ftfy                      6.2.3                    pypi_0    pypi
gitdb                     4.0.11                   pypi_0    pypi
gitpython                 3.1.43                   pypi_0    pypi
google-ai-generativelanguage 0.6.6                    pypi_0    pypi
google-api-core           2.19.2                   pypi_0    pypi
google-api-python-client  2.144.0                  pypi_0    pypi
google-auth               2.34.0                   pypi_0    pypi
google-auth-httplib2      0.2.0                    pypi_0    pypi
google-cloud-texttospeech 2.17.2                   pypi_0    pypi
google-generativeai       0.7.2                    pypi_0    pypi
googleapis-common-protos  1.65.0                   pypi_0    pypi
grpcio                    1.66.1                   pypi_0    pypi
grpcio-status             1.62.3                   pypi_0    pypi
gtts                      2.5.3                    pypi_0    pypi
h11                       0.14.0                   pypi_0    pypi
h2                        4.1.0              pyhd8ed1ab_0    conda-forge
hpack                     4.0.0              pyh9f0ad1d_0    conda-forge
hpp-fcl                   2.4.4                    pypi_0    pypi
httpcore                  1.0.5                    pypi_0    pypi
httplib2                  0.22.0                   pypi_0    pypi
httpx                     0.27.2                   pypi_0    pypi
huggingface-hub           0.24.6                   pypi_0    pypi
hydra-core                1.3.2                    pypi_0    pypi
hyperframe                6.0.1              pyhd8ed1ab_0    conda-forge
icu                       75.1                 he02047a_0    conda-forge
identify                  2.6.1                    pypi_0    pypi
idna                      3.8                pyhd8ed1ab_0    conda-forge
imageio                   2.35.1                   pypi_0    pypi
importlib-metadata        8.4.0                    pypi_0    pypi
importlib-resources       6.4.4                    pypi_0    pypi
iniconfig                 2.0.0                    pypi_0    pypi
inquirerpy                0.3.4                    pypi_0    pypi
iopath                    0.1.10                   pypi_0    pypi
ipython                   8.18.1                   pypi_0    pypi
ipywidgets                8.1.5                    pypi_0    pypi
isort                     5.13.2                   pypi_0    pypi
itsdangerous              2.2.0                    pypi_0    pypi
jedi                      0.19.1                   pypi_0    pypi
jinja2                    3.1.4              pyhd8ed1ab_0    conda-forge
jiter                     0.5.0                    pypi_0    pypi
joblib                    1.4.2              pyhd8ed1ab_0    conda-forge
jsonschema                4.23.0                   pypi_0    pypi
jsonschema-specifications 2023.12.1                pypi_0    pypi
jupyter-core              5.7.2                    pypi_0    pypi
jupyterlab-widgets        3.0.13                   pypi_0    pypi
kiwisolver                1.4.5                    pypi_0    pypi
lazy-loader               0.4                      pypi_0    pypi
ld_impl_linux-64          2.40                 hf3520f5_7    conda-forge
libblas                   3.9.0           23_linux64_openblas    conda-forge
libcblas                  3.9.0           23_linux64_openblas    conda-forge
libffi                    3.4.2                h7f98852_5    conda-forge
libgcc                    14.1.0               h77fa898_1    conda-forge
libgcc-ng                 14.1.0               h69a702a_1    conda-forge
libgfortran               14.1.0               h69a702a_1    conda-forge
libgfortran-ng            14.1.0               h69a702a_1    conda-forge
libgfortran5              14.1.0               hc5f4f2c_1    conda-forge
libgomp                   14.1.0               h77fa898_1    conda-forge
libhwloc                  2.11.1          default_hecaa2ac_1000    conda-forge
libiconv                  1.17                 hd590300_2    conda-forge
liblapack                 3.9.0           23_linux64_openblas    conda-forge
libnsl                    2.0.1                hd590300_0    conda-forge
libopenblas               0.3.27          pthreads_hac2b453_1    conda-forge
libprotobuf               3.21.12              hfc55251_2    conda-forge
librosa                   0.10.2.post1             pypi_0    pypi
libsqlite                 3.46.0               hde9e2c9_0    conda-forge
